user_input,provide_preference,accept_recommendation,reject_recommendation,inquire_resources,club_related_inquiries,short_answer_inquiries
What are UTMIST¡¯s major initiatives for this year?,0,0,0,1,1,0
I enjoy playing video games in my free time.,1,0,0,0,0,0
"Yes, I think this is a great choice.",0,1,0,0,0,0
"No, I would rather do something else.",0,0,1,0,0,0
Can you give me more details about this AI research project?,0,0,0,1,0,0
I do not have a particular preference here.,1,0,1,0,0,0
How can I join a research team focused on AI?,0,0,0,1,0,0
Are there any online AI courses from UofT?,0,0,0,0,0,0
What are the best tools for training deep learning models?,0,0,0,1,0,0
Do you know about any AI competitions for beginners?,0,0,1,0,0,0
Which university library has the best resources for AI research?,0,0,0,0,0,0
I enjoy learning about quantum computing.,1,0,0,0,0,0
Can you recommend a book on mathematical foundations of ML?,0,0,0,1,0,0
I want to work on AI applications in finance.,0,0,0,0,0,0
Are there any open-source AI projects I can contribute to?,0,0,0,0,0,0
What is the expected salary for AI engineers in Canada?,0,0,0,1,0,1
Can you suggest datasets for anomaly detection?,0,0,1,1,0,0
I prefer working on unsupervised learning problems.,1,0,0,0,0,0
"Yes, I am happy with this recommendation.",0,1,0,1,0,0
"No, I would like to explore other possibilities.",1,0,1,0,0,0
What are some interdisciplinary applications of AI?,0,0,0,1,0,0
Tell me about recent developments in AI fairness.,0,0,0,0,0,1
How do I get funding for an AI startup?,0,0,0,1,0,0
What is the best way to optimize neural networks?,0,0,0,1,0,1
Can you help me prepare for an AI research internship?,0,0,0,1,0,0
Which UofT professor specializes in computational neuroscience?,0,0,0,0,0,0
I like traveling and experiencing new cultures.,1,0,0,0,0,0
What are some essential Python libraries for AI?,0,0,0,1,0,0
When is the next AI-related guest lecture at UofT?,0,0,0,0,0,0
How do I implement a reinforcement learning agent?,0,0,0,1,0,0
Where can I find good open-source AI code repositories?,0,0,0,1,0,0
What are the key topics in adversarial machine learning?,0,0,0,1,0,0
How do I deploy an AI-powered recommendation system?,0,0,0,1,0,0
What are the best AI resources for self-study?,0,0,0,1,0,0
I am interested in using AI for climate modeling.,0,0,0,0,0,0
Which AI companies are currently hiring interns?,0,0,0,0,0,0
I want to join a discussion forum for AI ethics.,0,0,0,0,0,0
Where can I find a guide on hyperparameter tuning?,0,0,0,1,0,0
I do not have a strong opinion on this matter.,0,0,1,0,0,0
What is the best way to practice coding for AI?,0,0,0,1,0,1
Which software tools are essential for AI development?,0,0,0,0,0,0
How does federated learning improve privacy in AI?,0,0,0,1,0,1
Can you summarize this research paper on self-supervised learning?,0,0,0,1,0,0
How do I find AI-related volunteering opportunities?,0,0,0,1,0,0
I prefer practical projects over theoretical exercises.,1,0,0,0,0,0
Are there any AI bootcamps worth attending?,0,0,0,0,0,0
What is the role of AI in modern healthcare?,0,0,0,1,0,1
What are the latest trends in reinforcement learning?,0,0,0,1,0,0
How can I find mentors in the AI industry?,0,0,0,1,0,0
What is UTMIST¡¯s focus for the upcoming semester?,0,0,0,1,1,1
I enjoy solving mathematical puzzles in my spare time.,1,0,0,0,0,0
"Yes, I think this is a reasonable option.",0,1,0,0,0,0
"No, I prefer a different approach.",1,0,1,0,0,0
Can you explain more about this AI project?,0,0,0,1,0,1
I do not have a preference in this case.,1,0,1,0,0,0
How can I apply for an AI-related scholarship?,0,0,0,1,0,0
Are there any student AI research groups at UofT?,0,0,0,0,0,0
What are the best free AI learning platforms?,0,0,0,1,0,0
Do you know of any upcoming ML workshops?,0,0,1,0,0,0
Which coffee shop on campus has the quietest atmosphere?,0,0,0,0,0,0
I enjoy learning about space exploration and astrophysics.,1,0,0,0,0,0
Can you suggest a resource for learning reinforcement learning?,0,0,0,1,0,0
I want to contribute to an open-source AI research project.,0,0,0,0,0,0
Are there AI networking events in Toronto?,0,0,0,0,0,0
What are the career prospects for AI researchers?,0,0,0,1,0,0
Can you recommend datasets for time-series forecasting?,0,0,0,1,0,0
I prefer coding in Rust for performance-critical applications.,1,0,0,0,0,0
"Yes, I support this idea.",0,1,0,0,0,0
"No, I think there might be a better alternative.",0,0,1,0,0,0
What interdisciplinary applications does AI have?,0,0,0,1,0,0
Tell me about the latest developments in generative AI.,0,0,0,0,0,1
How can I fund my AI-related startup idea?,0,0,0,1,0,0
What are the key challenges in training deep learning models?,0,0,0,1,0,0
Can you help me with resume tips for AI job applications?,0,0,0,1,0,0
Which UofT professor works on AI safety research?,0,0,0,0,0,0
I like playing board games like chess and Go.,1,0,0,0,0,0
What are some must-watch AI lectures?,0,0,0,1,0,0
When is the next AI competition for students?,0,0,0,0,0,0
How do I train a large language model efficiently?,0,0,0,1,0,0
Where can I find pre-trained AI models?,0,0,0,1,0,0
What are the major ethical concerns in AI?,0,0,0,1,0,0
How do I deploy an AI model with minimal latency?,0,0,0,1,0,0
What are the best ways to improve AI research skills?,0,0,0,1,0,0
I am interested in AI applications for education.,0,0,0,0,0,0
Which AI company is leading in autonomous systems?,0,0,1,0,0,0
I want to collaborate on a research paper on deep learning.,0,0,0,0,0,0
Where can I find a good course on probabilistic models?,0,0,0,1,0,0
I do not mind which option we choose.,0,0,1,0,0,0
What is the best approach to learning AI from scratch?,0,0,0,1,0,1
Which Python library is best for reinforcement learning?,0,0,0,0,0,0
How does contrastive learning improve AI models?,0,0,0,1,0,1
Can you summarize this research paper on meta-learning?,0,0,0,1,0,0
How do I apply for a research position in AI ethics?,0,0,0,1,0,0
I prefer self-paced courses over traditional lectures.,1,0,0,0,0,0
Are there AI-focused job fairs happening soon?,0,0,0,0,0,0
What role does AI play in financial technology?,0,0,1,1,0,0
What are the key limitations of current AI models?,0,0,0,1,0,0
How can I find mentors in the AI research community?,0,0,0,1,0,0
What are UTMIST¡¯s new projects for this year?,0,0,0,1,1,0
I enjoy reading AI-related blogs and articles.,1,0,0,0,0,0
"Yes, I fully support this idea.",0,1,0,0,0,0
"No, I am not comfortable with this decision.",0,0,1,0,0,0
Can you tell me more about AI ethics in medical applications?,0,0,0,1,0,1
I do not have a specific preference regarding this.,1,0,1,0,0,0
How can I contribute to an AI research project at UofT?,0,0,0,1,0,0
Are there any scholarships available for AI research?,0,0,0,0,0,0
What are the best online platforms for AI competitions?,0,0,0,1,0,0
Do you know of any AI events happening at UofT?,0,0,1,0,0,0
Which study space on campus is best for focused work?,0,0,0,0,0,0
I enjoy learning about robotics and automation.,1,0,0,0,0,0
Can you recommend a beginner-friendly ML tutorial?,0,0,0,1,0,0
I want to gain hands-on experience in AI development.,0,0,0,0,0,0
Are there AI study groups at UofT?,0,0,0,0,0,0
What is the expected demand for AI engineers in the next decade?,0,0,0,1,0,1
Can you suggest datasets for image classification tasks?,0,0,0,1,0,0
I prefer using cloud-based AI development environments.,1,0,0,0,0,0
"Yes, I am okay with this recommendation.",0,1,0,1,0,0
"No, I think we should consider another option.",0,0,1,0,0,0
What are some real-world applications of reinforcement learning?,0,0,0,1,0,0
Tell me about the latest trends in AI-powered automation.,0,0,0,0,0,1
How can I build a strong portfolio for AI research roles?,0,0,0,1,0,0
What is the best way to optimize deep learning models?,0,0,0,1,0,1
Can you guide me on writing a research proposal for AI?,0,0,0,1,0,0
Which UofT professor focuses on multimodal learning?,0,0,0,0,0,0
I like attending AI conferences and hackathons.,1,0,0,0,0,0
What are some essential AI tools for data preprocessing?,0,0,0,1,0,0
When is the next AI workshop organized by UTMIST?,0,0,0,0,1,0
How do I implement an AI-based recommendation system?,0,0,0,1,0,0
Where can I find annotated datasets for NLP research?,0,0,1,1,0,0
What are the best strategies for training large-scale AI models?,0,0,0,1,0,0
How do I deploy an AI model using cloud computing?,0,0,0,1,0,0
What are some career paths in AI beyond academia?,0,0,0,1,0,0
I am interested in applying AI to social good projects.,0,0,0,0,0,0
Which AI startup is developing the most innovative models?,0,0,1,0,0,0
I want to collaborate on an AI project outside of UofT.,0,0,0,0,0,0
Where can I find structured resources for AI self-study?,0,0,0,1,0,0
"I do not have a strong preference, any option is fine.",1,0,1,0,0,0
What is the best way to stay updated on AI advancements?,0,0,0,1,0,1
Which ML frameworks offer the best scalability?,0,0,0,0,0,0
How does AI impact financial markets and trading strategies?,0,0,0,1,0,1
Can you summarize this research on AI robustness?,0,0,0,1,0,0
How do I secure a research assistant position in AI?,0,0,0,1,0,0
I prefer working on open-ended research problems.,1,0,0,0,0,0
Are there any AI-related career fairs happening soon?,0,0,0,0,0,0
What is the impact of AI in the legal industry?,0,0,0,1,0,1
What are the fundamental challenges in AI fairness?,0,0,0,1,0,0
How can I connect with AI professionals for mentorship?,0,0,0,1,0,0
What projects is UTMIST focusing on this semester?,0,0,0,1,1,0
I love playing strategy games in my free time.,1,0,0,0,0,0
"Yes, I think this is the best option for now.",0,1,1,0,0,0
"No, I strongly disagree with this decision.",0,1,1,0,0,0
Can you explain how blockchain technology works?,0,0,1,1,0,1
How can I improve my problem-solving skills?,0,0,0,1,0,0
What are some good strategies for time management?,0,0,0,1,0,0
Do you know any websites for free online courses?,0,0,1,0,0,0
Which programming language is best for beginners?,0,0,0,0,0,0
What is the best way to learn a new language quickly?,0,0,0,1,0,1
I enjoy watching psychological thriller movies.,1,0,0,0,0,0
Can you recommend a book on personal finance?,0,0,0,1,0,0
I want to improve my public speaking skills.,0,0,0,0,0,0
Are there any online communities for learning AI?,0,0,0,0,0,0
What are the key factors in building a startup?,0,0,0,1,0,0
Can you suggest some books on emotional intelligence?,0,0,0,1,0,0
I prefer learning by doing rather than just reading.,1,0,0,0,0,0
"Yes, I completely agree with this suggestion.",0,1,0,1,0,0
"No, I believe there are better alternatives.",0,0,1,0,0,0
What are some ways to stay motivated while studying?,0,0,0,1,0,0
Tell me about recent breakthroughs in quantum computing.,0,0,0,0,0,1
How do I build a strong LinkedIn profile?,0,0,0,1,0,0
What is the best way to prepare for technical interviews?,0,0,0,1,0,1
Can you help me with tips for better writing skills?,0,0,0,1,0,0
Which countries are best for higher education?,0,0,0,0,0,0
I like hiking and exploring nature trails.,1,0,0,0,0,0
What are some common habits of highly successful people?,0,0,0,1,0,0
When is the best time to start investing?,0,0,0,0,0,0
How do I create an effective morning routine?,0,0,0,1,0,0
Where can I find good online coding challenges?,0,0,0,1,0,0
What are the benefits of meditation and mindfulness?,0,0,0,1,0,0
How do I improve my concentration while studying?,0,0,0,1,0,0
What are some healthy eating habits to follow?,0,0,0,1,0,0
I am interested in learning about space travel.,0,0,0,0,0,0
Which industries will be most impacted by AI in the future?,0,0,0,0,0,0
I want to learn about photography and videography.,0,0,0,0,0,0
Where can I find information on the stock market?,0,0,0,1,0,0
"I do not mind which option is chosen, either is fine.",0,0,1,0,0,0
What is the best way to develop critical thinking skills?,0,0,0,1,0,1
Which online platforms are best for networking?,0,0,0,0,0,0
How does cryptocurrency mining work?,0,0,0,1,0,1
Can you summarize this research paper on neuroscience?,0,0,0,1,0,0
How do I find an internship in software development?,0,0,0,1,0,0
I prefer hands-on work over theoretical study.,1,0,0,0,0,0
Are there any good YouTube channels for learning physics?,0,0,0,0,0,0
What is the role of storytelling in marketing?,0,0,0,1,0,1
What are the challenges of remote work?,0,0,0,1,0,0
How can I start a blog and grow an audience?,0,0,0,1,0,0
What are the most useful soft skills for career growth?,0,0,0,1,0,0
"How do I balance work, study, and personal life effectively?",0,0,0,1,0,0
I love spending time with my family on weekends.,1,0,0,0,0,0
"Yes, that sounds like a perfect choice.",1,1,0,0,0,0
"No, I don¡¯t think this is the right decision.",0,0,1,0,0,0
Learning a new skill every month is my goal.,0,0,0,0,0,0
"I don¡¯t mind either way, both options work.",0,0,0,0,0,0
Working out in the morning keeps me energized.,0,0,0,0,0,0
Music helps me concentrate while studying.,0,0,0,0,0,0
I enjoy experimenting with different cooking recipes.,1,0,0,0,0,0
Networking is essential for career growth.,0,0,0,0,0,0
A balanced diet is key to a healthy lifestyle.,0,0,0,0,0,0
I always start my day with a cup of coffee.,0,0,0,0,0,0
Setting goals keeps me motivated.,0,0,0,0,0,0
Writing down thoughts helps clear my mind.,0,0,0,0,0,0
Self-improvement is a lifelong journey.,0,0,0,0,0,0
I prefer reading books over watching TV.,1,0,0,0,0,0
Taking breaks increases productivity.,0,0,0,0,0,0
I love going for long walks in nature.,1,0,0,0,0,0
Public speaking is a skill worth mastering.,0,0,0,0,0,0
Traveling to new places broadens perspectives.,0,0,0,0,0,0
Personal development is an ongoing process.,0,0,0,0,0,0
Consistency is more important than intensity.,0,0,0,0,0,0
I like solving puzzles in my free time.,1,0,0,0,0,0
A good night¡¯s sleep improves performance.,0,0,0,0,0,0
Learning from failure is part of success.,0,0,0,0,0,0
Mindfulness improves focus and well-being.,0,0,0,0,0,0
Time management is crucial for achieving goals.,0,0,0,0,0,0
A positive mindset leads to better outcomes.,0,0,0,0,0,0
Creativity flourishes in a relaxed environment.,0,0,0,0,0,0
Having a morning routine sets the tone for the day.,0,0,0,0,0,0
Healthy relationships are built on trust and communication.,0,0,0,0,0,0
Practicing gratitude leads to a happier life.,0,0,0,0,0,0
Quality over quantity applies to most things in life.,0,0,0,0,0,0
Being adaptable is key to handling change.,0,0,0,0,0,0
I find inspiration in reading biographies.,0,0,0,1,0,0
Learning a new language expands opportunities.,0,0,0,0,0,0
Investing in skills is always a good decision.,0,0,0,0,0,0
Stepping out of your comfort zone leads to growth.,0,0,0,0,0,0
I enjoy watching sunsets at the beach.,1,0,0,0,0,0
Minimalism helps in decluttering the mind.,0,0,0,0,0,0
I believe in lifelong learning.,0,0,0,0,0,0
Staying active is important for overall health.,0,0,0,0,0,0
Developing a growth mindset leads to success.,0,0,0,0,0,0
Journaling helps organize thoughts.,0,0,0,0,0,0
Confidence comes from experience and preparation.,0,0,0,0,0,0
I love discovering new music genres.,1,0,0,0,0,0
Collaboration often leads to better results.,0,0,0,0,0,0
Helping others gives a sense of fulfillment.,0,0,0,0,0,0
Practicing deep work increases efficiency.,0,0,0,0,0,0
Reading fiction enhances imagination.,0,0,0,0,0,0
Technology is shaping the future.,0,0,1,0,0,0
I enjoy exploring new technologies in my free time.,1,0,1,0,0,0
"Yes, that plan works well for me.",0,1,0,0,0,0
"No, I don¡¯t think this is a good fit.",0,0,1,0,0,0
Can you provide tips on improving communication skills?,0,0,0,1,0,0
I don¡¯t mind which option we go with.,0,0,0,0,0,0
How do I build a personal website for my portfolio?,0,0,0,1,0,0
I enjoy coding challenges and hackathons.,1,0,0,0,0,0
Which programming languages are best for AI development?,0,0,0,0,0,0
Practicing mindfulness helps me stay focused.,0,0,0,0,0,0
What is the best way to approach problem-solving?,0,0,0,1,0,1
I prefer working in a structured environment.,1,0,0,0,0,0
Can you suggest some productivity techniques?,0,0,0,1,0,0
I love learning about different cultures.,1,0,0,0,0,0
Where can I find open-source projects to contribute to?,0,0,0,1,0,0
What is the best strategy for career planning?,0,0,0,1,0,1
I believe in continuous learning and self-improvement.,0,0,0,0,0,0
"Yes, I support this idea wholeheartedly.",0,1,0,0,0,0
"No, I¡¯d rather consider other options.",0,0,1,0,0,0
What are some effective networking strategies?,0,0,0,1,0,0
Tell me about recent advancements in space exploration.,0,0,0,0,0,1
I enjoy writing and expressing my thoughts on paper.,1,0,0,0,0,0
How do I prepare for an important presentation?,0,0,0,1,0,0
What is the best way to develop leadership skills?,0,0,0,1,0,1
I prefer working in collaborative environments.,1,0,0,0,0,0
Can you recommend a good science fiction novel?,0,0,1,1,0,0
What are the benefits of learning a second language?,0,0,0,1,0,0
I find music to be a great stress reliever.,0,0,0,1,0,0
How do I become better at public speaking?,0,0,0,1,0,0
What are some best practices for teamwork?,0,0,0,1,0,0
I enjoy going for evening walks to relax.,1,0,0,0,0,0
Where can I learn about financial management?,0,0,0,1,0,0
What are the most in-demand tech skills right now?,0,0,1,1,0,0
I like setting long-term goals and working toward them.,1,0,0,0,0,0
"Yes, I think this is the right decision.",0,1,0,0,0,0
"No, I¡¯m not sure this aligns with my goals.",0,1,1,0,0,0
How does AI impact job markets in different industries?,0,0,0,1,0,1
I enjoy brainstorming creative solutions to problems.,1,0,0,0,0,0
What are some good resources for self-discipline?,0,0,0,1,0,0
How do I make the most of my study sessions?,0,0,0,1,0,0
What is the importance of resilience in personal growth?,0,0,0,1,0,1
I believe in the value of lifelong learning.,0,0,0,0,0,0
How do I improve my writing for professional communication?,0,0,0,1,0,0
What are the key principles of effective decision-making?,0,0,0,1,0,0
I find meditation helpful for mental clarity.,0,0,0,1,0,0
How do I get better at adapting to change?,0,0,0,1,0,0
What are some ways to build self-confidence?,0,0,0,1,0,0
